DetectionTimeStart_ShipLocal,DetectionTimeStart_UTC,DetectionTimeEnd_UTC,Latitude,Longitude
10/22/2017 14:34:44,10/23/2017 00:34:44,10/23/2017 00:35:16,25.24092833,-169.9251567
10/22/2017 14:36:48,10/23/2017 00:36:48,10/23/2017 00:37:14,25.24242167,-169.93143
10/22/2017 14:40:36,10/23/2017 00:40:36,10/23/2017 00:41:03,25.24514,-169.9428783
10/22/2017 14:43:00,10/23/2017 00:43:00,10/23/2017 00:43:30,25.24672833,-169.94963
10/22/2017 14:46:32,10/23/2017 00:46:32,10/23/2017 00:46:58,25.24914,-169.96014
10/22/2017 14:47:31,10/23/2017 00:47:31,10/23/2017 00:47:43,25.2498,-169.9632583
10/22/2017 14:48:13,10/23/2017 00:48:13,10/23/2017 00:48:37,25.25011,-169.9649083
10/22/2017 14:48:52,10/23/2017 00:48:52,10/23/2017 00:49:17,25.25054167,-169.9670083
10/22/2017 14:49:36,10/23/2017 00:49:36,10/23/2017 00:49:58,25.25096,-169.9692167
10/22/2017 14:50:28,10/23/2017 00:50:28,10/23/2017 00:50:51,25.25148,-169.9718717
10/22/2017 14:51:08,10/23/2017 00:51:08,10/23/2017 00:51:30,25.25189667,-169.9739633
10/22/2017 14:52:00,10/23/2017 00:52:00,10/23/2017 00:52:23,25.252435,-169.9766567
10/22/2017 14:53:50,10/23/2017 00:53:50,10/23/2017 00:54:13,25.25346333,-169.981945
10/22/2017 14:54:08,10/23/2017 00:54:08,10/23/2017 00:54:35,25.25366,-169.9830017
10/22/2017 14:55:09,10/23/2017 00:55:09,10/23/2017 00:55:28,25.254165,-169.98571
10/22/2017 14:55:47,10/23/2017 00:55:47,10/23/2017 00:56:10,25.25457667,-169.9878083
10/22/2017 14:56:34,10/23/2017 00:56:34,10/23/2017 00:56:55,25.25504167,-169.9904633
10/22/2017 14:57:21,10/23/2017 00:57:21,10/23/2017 00:57:46,25.255425,-169.9925817
10/22/2017 14:58:02,10/23/2017 00:58:02,10/23/2017 00:58:24,25.25580667,-169.9947667
10/22/2017 14:58:48,10/23/2017 00:58:48,10/23/2017 00:59:02,25.256175,-169.9969017
10/22/2017 14:59:33,10/23/2017 00:59:33,10/23/2017 00:59:49,25.25657,-169.9990983
10/22/2017 15:01:45,10/23/2017 01:01:45,10/23/2017 01:02:13,25.257805,-170.006135
10/22/2017 15:02:46,10/23/2017 01:02:46,10/23/2017 01:02:58,25.25836333,-170.0093817
10/22/2017 15:03:24,10/23/2017 01:03:24,10/23/2017 01:03:48,25.258645,-170.0109783
10/22/2017 15:04:14,10/23/2017 01:04:14,10/23/2017 01:04:42,25.25912333,-170.0136933
10/22/2017 15:05:11,10/23/2017 01:05:11,10/23/2017 01:05:35,25.259605,-170.0163767
10/22/2017 15:06:01,10/23/2017 01:06:01,10/23/2017 01:06:27,25.26009667,-170.0190817
10/22/2017 15:06:50,10/23/2017 01:06:50,10/23/2017 01:07:05,25.260595,-170.0218067
10/22/2017 15:06:51,10/23/2017 01:06:51,10/23/2017 01:07:11,25.260595,-170.0218067
10/22/2017 15:07:30,10/23/2017 01:07:30,10/23/2017 01:07:54,25.26098333,-170.0238867
10/22/2017 15:08:03,10/23/2017 01:08:03,10/23/2017 01:08:24,25.26132,-170.02551
10/22/2017 15:09:27,10/23/2017 01:09:27,10/23/2017 01:09:45,25.26240833,-170.0297083
10/22/2017 15:10:19,10/23/2017 01:10:19,10/23/2017 01:10:35,25.26306333,-170.0323183
10/22/2017 15:10:20,10/23/2017 01:10:20,10/23/2017 01:10:35,25.26306333,-170.0323183
10/22/2017 15:11:51,10/23/2017 01:11:51,10/23/2017 01:12:17,25.26428333,-170.0370217
10/22/2017 15:12:35,10/23/2017 01:12:35,10/23/2017 01:12:51,25.26483833,-170.0391817
10/22/2017 15:13:14,10/23/2017 01:13:14,10/23/2017 01:13:28,25.265245,-170.040745
10/22/2017 15:13:21,10/23/2017 01:13:21,10/23/2017 01:13:46,25.26538167,-170.0412983
10/22/2017 15:14:18,10/23/2017 01:14:18,10/23/2017 01:14:29,25.26606333,-170.0439883
10/22/2017 15:15:06,10/23/2017 01:15:06,10/23/2017 01:15:17,25.26676,-170.046675
10/22/2017 15:17:12,10/23/2017 01:17:12,10/23/2017 01:17:31,25.26838,-170.0530783
10/22/2017 15:18:04,10/23/2017 01:18:04,10/23/2017 01:18:24,25.26903333,-170.0556783
10/22/2017 15:18:23,10/23/2017 01:18:23,10/23/2017 01:18:44,25.26931,-170.0567783
10/22/2017 15:18:41,10/23/2017 01:18:41,10/23/2017 01:19:05,25.26944167,-170.0572833
10/22/2017 15:19:26,10/23/2017 01:19:26,10/23/2017 01:19:49,25.27012667,-170.0599917
10/22/2017 15:20:10,10/23/2017 01:20:10,10/23/2017 01:20:30,25.27066167,-170.0620933
10/22/2017 15:21:05,10/23/2017 01:21:05,10/23/2017 01:21:28,25.27133,-170.06471
10/22/2017 15:21:49,10/23/2017 01:21:49,10/23/2017 01:22:00,25.27188167,-170.0668733
10/22/2017 15:22:51,10/23/2017 01:22:51,10/23/2017 01:23:08,25.27269167,-170.0700867
10/22/2017 15:23:30,10/23/2017 01:23:30,10/23/2017 01:23:55,25.27322833,-170.07215
10/22/2017 15:27:28,10/23/2017 01:27:28,10/23/2017 01:27:53,25.27625667,-170.0839417
10/22/2017 15:28:14,10/23/2017 01:28:14,10/23/2017 01:28:31,25.27681,-170.0860433
10/22/2017 15:28:56,10/23/2017 01:28:56,10/23/2017 01:29:15,25.27736333,-170.0881967
10/22/2017 15:28:58,10/23/2017 01:28:58,10/23/2017 01:29:13,25.27736333,-170.0881967
10/22/2017 15:29:44,10/23/2017 01:29:44,10/23/2017 01:30:07,25.27806833,-170.0908917
10/22/2017 15:30:44,10/23/2017 01:30:44,10/23/2017 01:31:00,25.278765,-170.0935367
10/22/2017 15:31:33,10/23/2017 01:31:33,10/23/2017 01:31:44,25.27944833,-170.0961783
10/22/2017 15:35:24,10/23/2017 01:35:24,10/23/2017 01:35:44,25.28252167,-170.107805
10/22/2017 15:36:55,10/23/2017 01:36:55,10/23/2017 01:37:15,25.28365833,-170.112005
10/22/2017 15:37:35,10/23/2017 01:37:35,10/23/2017 01:37:57,25.28419167,-170.1140267
10/22/2017 15:38:20,10/23/2017 01:38:20,10/23/2017 01:38:41,25.28475167,-170.1161283
10/22/2017 15:39:03,10/23/2017 01:39:03,10/23/2017 01:39:24,25.2853,-170.1182483
10/22/2017 15:39:34,10/23/2017 01:39:34,10/23/2017 01:39:57,25.285695,-170.1197767
10/22/2017 15:39:46,10/23/2017 01:39:46,10/23/2017 01:40:02,25.285835,-170.1203217
10/22/2017 15:41:49,10/23/2017 01:41:49,10/23/2017 01:42:16,25.28746833,-170.1266333
